Trilha;Conteúdo;Carga Horária;Objetivo
Trilha de Python;Aula de revisão;120;Reforçar conceitos e resolver dúvidas de funções e estruturas
Trilha de Python;Introdução a POO;120;Compreender os conceitos iniciais da Programação Orientada a Objetos
Trilha de Python;Introdução às Classes em Python - Parte 01;120;Implementar classes, métodos e herança em Python
Trilha de Python;Introdução às Classes em Python - Parte 02;120;Implementar classes, métodos e herança em Python
Trilha de Python;Introdução às Classes em Python - Parte 03;120;Implementar classes, métodos e herança em Python
Trilha de Python;Introdução às Classes em Python - Parte 04;120;Implementar classes, métodos e herança em Python
Trilha de Python;Aula de revisão de programação orientada a objetos + SQLModel;120;Revisar POO aplicando em bancos de dados com SQLModel
Trilha de Python;SQLAlchemy - Conjunto de ferramentas para manipular SQL em Python;120;Usar ORM para manipular SQL diretamente no Python
Trilha de Python;O que é uma API? Request, Pydantic e fazendo nosso CRUD;120;Criar APIs do zero e integrar com banco de dados
Trilha de Python;O que é uma API? Criando nossa primeira API;120;Criar APIs do zero e integrar com banco de dados
Trilha de Python;Nosso Projeto de CRUD Backend + Frontend + Banco de Dados;120;Entregar um projeto completo conectando API, frontend e banco
Trilha de AWS;Introdução a Cloud, criando nossa conta e publicando um site na AWS via S3 e EC2;120;Entender fundamentos da nuvem e publicar sua primeira aplicação
Trilha de AWS;Serviços de Armazenamento da Núvem com S3;120;Armazenar e gerenciar arquivos na AWS
Trilha de AWS;Computação na Nuvem com EC2;120;Criar e administrar servidores virtuais na nuvem
Trilha de AWS;Gestão de Acesso com IAM;120;Gerenciar permissões e acessos de usuários
Trilha de AWS;Gerenciamento de Redes com VPC;120;Configurar redes privadas na AWS
Trilha de AWS;Integrando EC2 e VPC;120;Integrar servidores e redes para ambientes mais seguros
Trilha de AWS;Banco de dados com RDS;120;Criar e administrar bancos relacionais na AWS
Trilha de AWS;Processamento de API e Armazenamento de dados;120;Processar dados com serviços de API
Trilha de AWS;Arquitetura de Eventos;120;Usar eventos para acionar automações
Trilha de AWS;Gestão de Custos na AWS;120;Monitorar e otimizar custos em nuvem
Trilha de AWS;Lambda Functions;120;Criar funções serverless
Trilha de AWS;Amazon CLI;120;Operar AWS pelo terminal
Trilha de AWS;Amazon SQS;120;Trabalhar com filas de mensagens na nuvem
Trilha de AWS;Amazon SNS;120;Gerenciar notificações e assinaturas de eventos
Trilha de AWS;DynamoDB e Amplify;120;Trabalhar com bancos NoSQL e aplicações modernas
Trilha de SQL e dbt-core;Instalação e Setup;120;Preparar ambiente para consultas SQL e dbt
Trilha de SQL e dbt-core;Comandos de consulta Select, Where, GroupBy;120;Criar consultas e sumarizar dados
Trilha de SQL e dbt-core;Joins;120;Relacionar tabelas em consultas
Trilha de SQL e dbt-core;Window Function;120;Criar análises avançadas em SQL
Trilha de SQL e dbt-core;Projeto Completo;120;Consolidar fundamentos em um case real
Trilha de SQL e dbt-core;CTE, Subqueries, Views, Temporary Tables e Materialized Views;120;Organizar queries complexas
Trilha de SQL e dbt-core;Criação de tabelas;120;Definir modelos relacionais em SQL
Trilha de SQL e dbt-core;Stored Procedured;120;Programar lógica dentro do banco
Trilha de SQL e dbt-core;Triggers e Functions;120;Programar lógica dentro do banco
Trilha de SQL e dbt-core;Transações ACID;120;Garantir consistência e segurança em operações no banco
Trilha de SQL e dbt-core;Perfomance e Tuning em SQL;120;Otimizar consultas e bancos grandes
Trilha de SQL e dbt-core;B-Tree e Index;120;Otimizar consultas e buscas em tabelas grandes
Trilha de SQL e dbt-core;Particionamento;120;Melhorar performance de queries em bases extensas
Trilha de SQL e dbt-core;dbt cloud parte 1;120;Criar pipelines de transformação de dados com dbt
Trilha de SQL e dbt-core;dbt cloud parte 2;120;Criar pipelines de transformação de dados com dbt
Trilha de SQL e dbt-core;dbt core overview;120;Compreender os fundamentos do dbt core
Trilha de SQL e dbt-core;ccriando nosso projeto;120;Configurar e iniciar um projeto dbt
Trilha de SQL e dbt-core;dbt core testes;120;Aplicar testes em pipelines dbt
Trilha de SQL e dbt-core;dbt core deplot;120;Publicar projetos dbt em ambiente produtivo
Trilha de SQL e dbt-core;bigquery, macro e snapshots;120;Aplicar dbt em ambientes cloud modernos
Trilha de Engenharia de Dados + IA;Infra, Linux e Docker;240;Montar base de infraestrutura para engenharia de dados
Trilha de Engenharia de Dados + IA;Airflow Workflow Orchestration;240;Orquestrar pipelines de dados com Airflow
Trilha de Engenharia de Dados + IA;Data Pipelines com Airflow 3.0 + dbt com Astro;240;Construir pipelines modernas com ferramentas integradas
Trilha de Engenharia de Dados + IA;Web Scraping, Redis, MongoDB e noSQL;240;Extrair e manipular dados em escala com diferentes bancos
Trilha de Engenharia de Dados + IA;Agentes de IA com Agno, CrewIA e Langchain;240;Criar agentes de IA avançados integrados a dados
Trilha de Engenharia de Dados + IA;Extração de dados em PDF e Regex;240;Ler e transformar dados complexos de documentos
Trilha de Engenharia de Dados + IA;Event-Driven com Amazon SQS e Lambda AWS;240;Criar pipelines orientados a eventos
Trilha de Engenharia de Dados + IA;Arquitetura Streaming com Kafka;240;Processar dados em tempo real
Trilha de Engenharia de Dados + IA;Observabilidade com Prothes, Sentry e OpenTelemetry;240;Monitorar pipelines com Prometheus, Sentry e OpenTelemetry
Trilha de Engenharia de Dados + IA;Infra as Code com Terraform;240;Criar infraestrutura escalável e versionada
Trilha de Engenharia de Dados + IA;Design Sprint para especificação de projetos;240;Aprender a especificar projetos de dados de ponta a ponta
Trilha de Engenharia de Dados + IA;DevOps e Kubernetes para Dados;240;Aplicar práticas de DevOps em ambientes de dados
Trilha de Spark e Databricks;Introdução ao Databricks e ao Lakehouse;90;Compreender a visão geral da plataforma e o conceito de Lakehouse.
Trilha de Spark e Databricks;Arquitetura de Dados Moderna;90;Diferenciar Data Lake, Data Warehouse e Lakehouse.
Trilha de Spark e Databricks;Configuração do Workspace Databricks;90;Aprender a criar clusters, gerenciar usuários e permissões.
Trilha de Spark e Databricks;Primeiro Notebook no Databricks;90;Executar PySpark e SQL, integrando notebooks com Git.
Trilha de Spark e Databricks;Fundamentos do Spark e PySpark;90;Entender RDDs, DataFrames e paralelismo.
Trilha de Spark e Databricks;Transformações e Ações no Spark;90;Praticar operações como filter, map, groupBy e join.
Trilha de Spark e Databricks;Leitura e Escrita de Dados;90;Carregar e salvar dados em CSV, JSON, Parquet e Delta Lake.
Trilha de Spark e Databricks;SQL no Databricks;90;Utilizar queries SQL, views e otimizações básicas.
Trilha de Spark e Databricks;Ingestão de Dados Batch;90;Integrar dados de APIs, bancos relacionais e arquivos externos.
Trilha de Spark e Databricks;Camadas Bronze, Silver e Gold;90;Implementar pipelines estruturadas no modelo de camadas.
Trilha de Spark e Databricks;Qualidade e Governança de Dados;90;Aplicar schema enforcement e data quality checks.
Trilha de Spark e Databricks;Delta Lake Avançado;90;Explorar ACID transactions, time travel e otimizações.
Trilha de Spark e Databricks;Conceitos de Streaming no Spark;90;Entender microbatch vs continuous e arquitetura de streaming.
Trilha de Spark e Databricks;Structured Streaming com PySpark;90;Ler dados de Kafka e sockets em tempo real.
Trilha de Spark e Databricks;Transformações e Janelas em Streaming;90;Realizar agregações e aplicar watermarks em fluxos.
Trilha de Spark e Databricks;Integração com Dashboards em Tempo Real;90;Conectar dados em streaming ao Power BI e Databricks SQL.
Trilha de Spark e Databricks;Orquestração com Databricks Workflows;90;Configurar jobs, triggers e dependências.
Trilha de Spark e Databricks;Integração com dbt-core e SQL;90;Criar modelos versionados e documentados.
Trilha de Spark e Databricks;Infraestrutura como Código no Databricks;90;Automatizar clusters e permissões com Terraform.
Trilha de Spark e Databricks;Projeto Batch + Streaming;90;Construir pipeline real unindo ingestão batch e streaming.
Trilha de Spark e Databricks;Otimização de Jobs Spark;90;Aplicar técnicas de particionamento, caching e adaptive execution.
Trilha de Spark e Databricks;Segurança e Governança com Unity Catalog;90;Configurar permissões, lineage e auditoria.
Trilha de Spark e Databricks;Preparação para Certificação Databricks;90;Revisar conteúdo oficial e realizar simulados.
Trilha de Spark e Databricks;Projeto Final End-to-End;90;Desenvolver pipeline completo com batch, streaming, dashboards e governança.
